content	answer	dummy1	dummy2	explanation	is_opened
쫌쫌따리의 뜻은 무엇일까요?	조금씩, 작다	쫌생이	슬금슬금 따라오는 모양	쫌쫌따리는 조금씩, 작다를 뜻하는 신조어로 "쫌쫌따리 정보 좀 주세요"처럼 사용합니다.	TRUE
억텐의 뜻은 무엇일까요?	억지 텐션	억수로 텐션이 높은 사람	억울하여 나오는 텐션	억텐은 억지 텐션의 줄임말로 "억텐하지마~"처럼 사용합니다.	TRUE
스불재의 뜻은 무엇일까요?	스스로 불러온 재앙	스트레스 불태우는 재미	스파게티 불고기 제육볶음	스불재는 스스로 불러온 재앙의 줄임말로 "그건 다 스불재다"처럼 사용합니다.	TRUE
좋댓구알의 뜻은 무엇일까요?	좋아요, 댓글, 구독, 알림설정	좋게 댓글 달아도 누구 하나 알아주는 사람 없다	좋아요, 댓글 달아주는 구인 알람	좋댓구알은 좋아요, 댓글, 구독, 알림설정의 줄임말로 유튜브에서 "좋댓구알 부탁드려요"처럼 사용합니다.	TRUE
어쩔티비의 뜻은 무엇일까요?	어쩌라고, 가서 티비나 봐	어쩔 수 없지 티비나 보자!	티비가 고장나서 제대로 작동되지 않는 상태	어쩔티비는 어쩌라고, 가서 티비나 봐의 줄임말로 "응 어쩔티비~"처럼 사용합니다.	TRUE
갓생의 뜻은 무엇일까요?	신(god)과 인생을 합친 말로 생산적이고 계획적인 삶을 사는 인생	갓 구운 생선	갓난아이가 생기다	갓생은 생산적이고 계획적인 삶을 사는 인생의 줄임말로 "나 오늘부터 갓생살 거야"처럼 사용합니다.	FALSE
다꾸의 뜻은 무엇일까요?	다이어리 꾸미기	다 꾸며도 모자른 상태	다시 처음부터 꾸미기	다꾸는 다이어리 꾸미기의 줄임말로 "내 취미는 다꾸야"처럼 사용합니다.	FALSE
킹받다의 뜻은 무엇일까요?	열받다	임금처럼 공손히 모시다.	귀엽다	킹받다는 열받다를 나타내는 신조어로 "킹받게 하지마"처럼 사용합니다.	FALSE
군싹의 뜻은 무엇일까요?	군침이 싹 도네	군대로 싹 가버리다	군것질 싹 치워	군싹은 군침이 싹 도네의 줄임말로 "군싹 맛집"처럼 사용합니다.	FALSE
티엠아이의 뜻은 무엇일까요?	필요치 않은 사소한 것까지 하나하나 설명하는 사람	티셔츠 엠사이즈 아이스크림	티끌 모아 태산을 이룬 사람	존맛탱은 매우 맛있다를 뜻하는 신조어로 "이거 완전 존맛탱이야"처럼 사용합니다.	FALSE
존맛탱의 뜻은 무엇일까요?	매우 맛있다	상한 음식	맛보기	티엠아이는 Too Much Information의 영어 발음을 따서 만든 신조어로 매우 많은 정보를 뜻하며 "너 지금 티엠아이야"처럼 사용합니다.	FALSE
멍청비용의 뜻은 무엇일까요?	쓰지 않아도 됐을 돈이나 시간을 소비하는 것	멍 들 때 드는 약의 비용	멍멍이 청바지 비타민 용돈	멍청비용은 쓰지 않아도 됐을 돈이나 시간을 소비하는 것을 나타내는 신조어로 "여행 출발 전부터 멍청비용 썼다"처럼 사용합니다.	FALSE
갈비의 뜻은 무엇일까요?	갈수록 비호감	갈수록 비슷해지는 우리	갈 수 있게 비켜줄래?	갈비는 갈수록 비호감의 줄임말로 "쟤 은근 갈비야"처럼 사용합니다.	FALSE
가심비의 뜻은 무엇일까요?	가격대비 심리적 만족도를 주는 것	가지각색의 심부름을 하는 비서	가지마 심심해 비온단 말이야	가심비는 가격대비 심리적 만족도를 주는 것을 의미하는 신조어로 "가심비 좋은 식당"처럼 사용합니다.	FALSE
돼지런하다의 뜻은 무엇일까요?	평소에는 느릿느릿하다가 먹을 때만 부지런하다	돼지들이 도망가는 현상	느리게 도망가는 모습	돼지런하다는 돼지와 부지런하다를 합친 말로 "돼지런하게 먹고 살쪘어"처럼 사용합니다.	FALSE
갑분싸의 뜻은 무엇일까요?	갑자기 분위기 싸해짐	갑자기 분주하게 싸돌아다니다	갑자기 분노하는 싸가지	갑분싸는 갑자기 분위기 싸해짐의 줄임말로 "아 갑분싸 됐다"처럼 사용합니다.	FALSE
소확행의 뜻은 무엇일까요?	소소하지만 확실한 행복	소지품 확실히 챙기고 행동하자	소녀의 확실한 행동	소확행은 소소하지만 확실한 행복의 줄임말로 "나의 소확행은 산책이다"처럼 사용합니다.	FALSE
명존쎄의 뜻은 무엇일까요?	명치 굉장히 강하게 때린다	유명하고 존중받는 쎄시봉	명확하고 존엄한 세월	명존쎄는 명치 굉장히 강하게 때린다의 줄임말로 "명존쎄 날리고 싶은 악역"처럼 사용합니다.	FALSE
팬아저의 뜻은 무엇일까요?	팬이 아니어도 저장	팬들 중 아저씨 집단	팬이 아니면 저리가	팬아저는 팬이 아니어도 저장의 줄임말로 "팬아저 유발하는 미모"처럼 사용합니다.	FALSE
휘게의 뜻은 무엇일까요?	편안함	휘파람 부는 꽃게	희한한 게스트	휘게는 덴마크어로 '편안함'을 뜻하며 "휘게 속옷"처럼 사용합니다.	FALSE
희연사의 뜻은 무엇일까요?	희귀한 연예인 사진	희한하게 연속적으로 나타나는 사람	희미한 연기에 가려진 사진	희연사는 희귀한 연예인 사진의 줄임말로 "희연사 나눔"처럼 사용합니다.	FALSE
힘숨찐의 뜻은 무엇일까요?	힘을 숨긴 찐따	힘없이 숨어 지내는 찐따	힘겹게 숨어서 먹은 찐빵	힘숨찐은 힘을 숨긴 찐따의 줄임말로 "알고보니 힘숨찐"처럼 사용합니다.	FALSE
삼귀다의 뜻은 무엇일까요?	아직 사귀는 사이는 아니지만 서로 알아가고 있는 단계	3번 귀화하는 사람	사람을 사귀기 어려워하다	삼귀다는 아직 사귀는 사이는 아니지만 서로 알아가고 있는 단계를 뜻하는 신조어로 "삼귀는 사이"처럼 사용합니다.	FALSE
띵곡의 뜻은 무엇일까요?	명곡	들으면 머리가 띵하고 아픈 시끄러운 곡	최신 노래	띵곡은 명곡을 의미하는 신조어로 "이거 완전 띵곡이야"처럼 사용합니다.	FALSE
누물보의 뜻은 무엇일까요?	누구 물어보신 분?	누가 되지 않게 물어보고 보고하세요	누구든 물어보고 실행해주세요	누물보는 누구 물어보신 분?의 줄임말로 "누물보?"처럼 사용합니다.	FALSE
오저치고의 뜻은 무엇일까요?	오늘 저녁 치킨 고?	오이는 저기에 치우고	오늘 저녁엔 치즈 고로케 먹자	오저치고는 오늘 저녁 치킨 고?의 줄임말로 "지금 완전 오저치고"처럼 사용합니다.	FALSE
자낳괴의 뜻은 무엇일까요?	자본주의가 낳은 괴물	자식을 낳으면 괴롭다	자유롭게 날아다니면 괴로움은 사라져	자낳괴는 자본주의가 낳은 괴물의 줄임말로 "자낳괴 다 됐네"처럼 사용합니다.	FALSE
강직인의 뜻은 무엇일까요?	강아지를 키우는 직장인	강하고 솔직한 한국인	강인하고 정직하면 인정받을 수 있다.	강직인은 강아지를 키우는 직장인의 줄임말로 "강직인의 일상"처럼 사용합니다.	FALSE
슬세권의 뜻은 무엇일까요?	슬리퍼로 갈 수 있는 거리	슬픈 세월은 권태로워지기 마련	슬리퍼를 세 사람에게 권하다	슬세권은 슬리퍼로 갈 수 있는 거리를 의미하는 신조어로 "요즘 슬세권이 뜬다!"처럼 사용합니다.	FALSE
만반잘부의 뜻은 무엇일까요?	만나서 반가워 잘 부탁해	만반의 준비 잘도 했다	만지지 말고 반 발자국 물러서서 잘 부탁드려요	만반잘부는 만나서 반가워 잘 부탁해의 줄임말로 "친구들아~ 만반잘부!"처럼 사용합니다.	FALSE
